num_workers,num_envs_per_worker,num_nodes,throughput
1,20,1,433.1674875
2,20,1,879.3299995
4,20,1,1846.592999
8,20,1,3101.860995
16,20,1,4612.616592
32,20,1,6525.393934
64,20,1,9108.488605
128,20,1,16996.3351
2,20,2,876.3246463
4,20,2,1832.324543
8,20,2,3101.860995
16,20,2,4618.644543
32,20,2,6515.34242
64,20,2,9093.453345
128,20,2,16966.98548
4,20,3,1835.45234
8,20,3,3105.845234
16,20,3,4618.634123
32,20,3,6516.343423
64,20,3,9083.4522
128,20,3,16956.98534
4,20,4,1820.23314
8,20,4,3092.34241
16,20,4,4600.3123
32,20,4,6506.31234
64,20,4,9023.34
128,20,4,16913.3344
