num_workers,num_envs_per_worker,num_nodes,throughput
1,20,1,744.2781958
2,20,1,1307.084843
4,20,1,2442.535318
8,20,1,5253.399258
16,20,1,8310.227913
32,20,1,17707.47068
64,20,1,21515.29697
128,20,1,21480.12903
2,20,2,1117.126981
4,20,2,1998.415319
8,20,2,3658.268041
16,20,2,6468.943337
32,20,2,10839.73193
64,20,2,14002.955
128,20,2,12155.08667
4,20,3,1734.34403
8,20,3,3715.395648
16,20,3,5872.274018
32,20,3,11028.69128
64,20,3,13818.19589
128,20,3,11055.05023
4,20,4,1534.34403
8,20,4,2917.115491
16,20,4,5491.412366
32,20,4,10095.39774
64,20,4,11413.45756
128,20,4,10503.24921
