num_workers,num_envs_per_worker,num_nodes,throughput
1,16,1,3167.28135
2,16,1,5330.107204
4,16,1,8148.773304
8,16,1,10638.57245
16,16,1,13082.71896
32,16,1,14284.29754
64,16,1,14247.75021
128,16,1,12860.72422
2,16,2,5222.339646
4,16,2,7984.01613
8,16,2,10423.47491
16,16,2,12818.20408
32,16,2,13995.48836
64,16,2,13959.67998
128,16,2,12600.69777
4,16,3,6967.201175
8,16,3,9095.979449
16,16,3,11428.58301
32,16,3,12213.0744
64,16,3,12181.82643
128,16,3,10995.91921
4,16,4,6409.825081
8,16,4,8368.301093
16,16,4,10844.47769
32,16,4,11236.02844
64,16,4,11207.28032
128,16,4,10116.24567
