num_workers,num_envs_per_worker,num_nodes,throughput
1,1,1,384.6148466
2,1,1,700.8683878
4,1,1,1215.953
8,1,1,2116.134416
16,1,1,3906.734574
32,1,1,8324.487444
64,1,1,10114.59077
128,1,1,10098.05791
2,1,2,525.1743569
4,1,2,939.4782312
8,1,2,1719.794257
16,1,2,3041.125329
32,1,2,5095.883766
64,1,2,6582.951635
128,1,2,5714.247293
4,1,3,815.3352537
8,1,3,1746.650608
16,1,3,2760.624158
32,1,3,5184.715746
64,1,3,6496.094237
128,1,3,5197.107395
4,1,4,721.3129331
8,1,4,1371.369843
16,1,4,2581.576676
32,1,4,4745.963626
64,1,4,5365.598841
128,1,4,4937.699332
